date,value,series_id,indicator_name,unit,geography,geo_level,source
2011-09-01,25046.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-09-01,132344.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-09-01,17571.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-09-01,20417.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-10-01,7708.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-10-01,11762.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-10-01,132553.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-10-01,820.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-10-01,17618.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-10-01,2677.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-10-01,20452.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-10-01,5588.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-10-01,25083.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-11-01,2676.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-11-01,5593.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-11-01,825.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-11-01,132690.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-11-01,11753.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-11-01,7721.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-11-01,17654.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2011-11-01,20484.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-11-01,25111.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-12-01,2679.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2011-12-01,7729.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2011-12-01,11783.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2011-12-01,20515.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2011-12-01,25124.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2011-12-01,132888.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2011-12-01,831.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2011-12-01,5611.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2011-12-01,17722.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2012-01-01,17808.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2012-01-01,11820.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2012-01-01,7736.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2012-01-01,133246.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2012-01-01,2665.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2012-01-01,25217.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2012-01-01,841.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2012-01-01,5626.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2012-01-01,20573.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2012-02-01,2676.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2012-02-01,846.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2012-02-01,7745.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2012-02-01,20646.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2012-02-01,5629.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2012-02-01,25246.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2012-02-01,17878.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2012-02-01,133509.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2012-02-01,11841.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2012-03-01,25276.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2012-03-01,5625.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2012-03-01,7767.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2012-03-01,133748.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2012-03-01,849.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2012-03-01,17912.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2012-03-01,2678.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2012-03-01,11880.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2012-03-01,20690.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2012-04-01,850.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2012-04-01,7771.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
